,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,correlation_0,correlation_45,correlation_90,correlation_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,contrast_0,contrast_45,contrast_90,contrast_135,ASM_0,ASM_45,ASM_90,ASM_135,energy_0,energy_45,energy_90,energy_135,Labels
0,1.037337294,1.37546108,0.8089798346,1.372471171,0.9983905689,0.9973031259,0.9987719978,0.9973559072,0.6024041913,0.5219938141,0.6821021576,0.5226274177,2.50826357,4.203362564,1.916716224,4.120945071,0.002659663574,0.002068485276,0.003601432072,0.002073158825,0.05157192622,0.04548060329,0.06001193274,0.04553195388,1
1,1.559837969,1.929645057,1.353084284,2.025018822,0.997857624,0.9963100241,0.9979770914,0.9961466404,0.6191380541,0.5888549875,0.6570087823,0.5798696396,10.08077775,17.35045851,9.528215386,18.11925512,0.003842111887,0.00329412413,0.004125715112,0.003355761267,0.06198477141,0.0573944608,0.0642317298,0.0579289329,1
2,1.62941939,1.905265382,0.9163107531,1.918470813,0.9960043221,0.9949228152,0.9986633874,0.994869146,0.4975132319,0.4476972208,0.6472727508,0.4458179073,6.459287065,8.204353784,2.156641618,8.291082813,0.001719754476,0.001470051091,0.00306107175,0.001472149762,0.04146992254,0.0383412453,0.0553269532,0.03836860386,1
3,1.686573049,2.250670292,1.602789642,2.134204668,0.9987641818,0.997201456,0.9982370691,0.9973727782,0.5735103139,0.5380951451,0.6093286046,0.5470956673,10.23598704,23.15212787,14.56953019,21.73480265,0.001050453782,0.0009350655934,0.001246236219,0.0009644255035,0.03241070474,0.03057884225,0.03530207103,0.03105520091,1
4,1.052595193,1.340226735,0.7683083743,1.379832197,0.9986432902,0.9979412815,0.9990927842,0.997800726,0.5924806605,0.5211565452,0.6906263176,0.5140268351,2.453826627,3.721721798,1.648526788,3.975788236,0.002351225627,0.001873504439,0.003171801202,0.001816294817,0.0484894383,0.04328399749,0.05631874645,0.04261801048,1
5,1.476084256,2.058704048,1.422473915,2.102209391,0.998244398,0.9970734398,0.99856247,0.9967957782,0.5220677819,0.430191115,0.53515054,0.4249299004,5.920675128,9.871195584,4.842455533,10.80773043,0.001633094697,0.001222850641,0.001851530338,0.001206898613,0.04041156637,0.03496928139,0.04302941248,0.03474044636,1
6,1.037542533,1.404758939,0.9161431584,1.437794184,0.9982478441,0.9971233639,0.9986257982,0.9969901652,0.6164667377,0.5308774211,0.6475140378,0.5237681972,2.812254928,4.615628775,2.202827486,4.829369357,0.003546806951,0.002661601419,0.004075591538,0.002664364665,0.05955507494,0.05159071058,0.06384035979,0.0516174841,1
7,0.8378935998,1.120381755,0.7106665946,1.157360214,0.9994044198,0.9990694184,0.9995485454,0.9989744788,0.6703920621,0.5913032183,0.7096045566,0.5857965551,1.917493924,2.995585551,1.450905552,3.301211671,0.003471553446,0.002698760014,0.003850603104,0.002657872658,0.05891989007,0.05194959108,0.06205322799,0.05155456001,1
8,1.60831758,1.950834412,1.265680921,2.016244089,0.9976506934,0.9964627374,0.9983626227,0.9962309671,0.6062002563,0.5741970369,0.6569975624,0.5688718604,11.20726978,16.86691655,7.800632535,17.97218626,0.002620714007,0.002314536978,0.003156670715,0.002327221842,0.05119290974,0.04810963498,0.05618425682,0.04824128773,1
9,1.34199838,1.655331734,1.020003244,1.613538005,0.9988216676,0.9981996913,0.9992334294,0.9982559063,0.622962461,0.5812826184,0.6751766339,0.5901031813,7.149289765,10.91107187,4.644223388,10.57031974,0.001718783181,0.001469840866,0.002055815945,0.00151703415,0.04145821005,0.03833850371,0.04534110657,0.03894912259,1
10,1.333756414,1.857242676,1.2148024,1.855682723,0.9988249723,0.9977342925,0.9987859265,0.9977102349,0.5307088079,0.4451188348,0.5851331316,0.4448460467,3.764531461,7.242718867,3.885505758,7.31954653,0.001512209171,0.00113113219,0.001771090914,0.001135019247,0.03888713374,0.03363230872,0.04208433097,0.0336900467,1
